owner_org,d_fiscal_year,total,total_constant_2019_dollars
cic,2022-2023,30351.30,26859.24
ec,2017-2018,17993.71,18558.06
elections,2022-2023,2034.01,1807.41
esdc-edsc,2020-2021,11253312.53,10681051.30
esdc-edsc,2021-2022,32805304.36,30500460.54
esdc-edsc,2022-2023,35797223.85,32028248.75
hc-sc,2021-2022,34016.71,30750.57
hc-sc,2022-2023,198923.82,178670.00
iaac-aeic,2017-2018,17993.71,18558.06
ic,2020-2021,17955.00,16918.56
ic,2021-2022,154507.50,144111.78
irb-cisr,2022-2023,30351.30,26859.24
nrc-cnrc,2017-2018,11300.00,11648.04
nrcan-rncan,2017-2018,58921.86,60739.35
pch,2017-2018,27087.60,27924.91
pwgsc-tpsgc,2017-2018,25750.38,26545.81
pwgsc-tpsgc,2018-2019,1180.53,1212.05
pwgsc-tpsgc,2022-2023,60089.77,53488.50
tc,2017-2018,40122.74,41422.79
tc,2019-2020,23248.36,22954.79
tc,2020-2021,10651.64,10102.85
