owner_org,d_fiscal_year,total,total_constant_2019_dollars
dfo-mpo,2017-2018,23816.30,24383.56
dfo-mpo,2018-2019,47281.01,48084.51
dfo-mpo,2019-2020,532235.87,522477.28
dfo-mpo,2020-2021,579477.52,549749.00
dfo-mpo,2021-2022,857361.69,789928.40
dnd-mdn,2017-2018,962479.99,988360.63
dnd-mdn,2018-2019,604450.99,612848.67
dnd-mdn,2019-2020,881616.03,881042.27
dnd-mdn,2020-2021,155482.09,147459.03
dnd-mdn,2021-2022,32272.77,30447.41
nrc-cnrc,2017-2018,35369.00,36219.20
nrc-cnrc,2018-2019,21809.00,22136.31
nrc-cnrc,2020-2021,32463.77,30954.37
nrc-cnrc,2021-2022,27967.50,25605.53
pc,2017-2018,2606996.51,2674527.60
pc,2018-2019,1604394.29,1630142.96
pc,2019-2020,1254966.53,1244780.71
pc,2020-2021,329709.41,313414.87
pc,2021-2022,454567.07,421866.25
pwgsc-tpsgc,2017-2018,846550.04,867988.87
pwgsc-tpsgc,2018-2019,817591.54,829178.54
pwgsc-tpsgc,2019-2020,1743584.05,1727908.46
pwgsc-tpsgc,2020-2021,1334296.81,1267626.01
pwgsc-tpsgc,2021-2022,2126489.16,1964540.83
tc,2017-2018,10429.90,10676.81
