owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2019-2020,32197.13,32223.00
aafc-aac,2020-2021,10382.89,9814.03
cas-satj,2019-2020,39680.60,39529.72
cbsa-asfc,2021-2022,15929.61,7586.90
cfia-acia,2019-2020,26169.46,26205.34
csa-asc,2021-2022,16010.16,14603.77
dfatd-maecd,2019-2020,58679.77,58572.03
dnd-mdn,2018-2019,59704.81,60348.64
dnd-mdn,2019-2020,44520.31,44289.54
dnd-mdn,2020-2021,48730.25,46223.37
dnd-mdn,2021-2022,32241.85,11695.67
ec,2020-2021,20304.17,19519.51
ec,2021-2022,126573.77,71855.09
esdc-edsc,2020-2021,293558.01,278259.85
esdc-edsc,2021-2022,178890.03,141814.17
hc-sc,2021-2022,14866.89,2031.22
nrc-cnrc,2020-2021,16890.84,15965.41
nrc-cnrc,2021-2022,43328.66,40022.39
nrcan-rncan,2020-2021,14954.60,14135.26
nrcan-rncan,2021-2022,19293.48,17762.16
pwgsc-tpsgc,2017-2018,1022253.20,1049147.28
pwgsc-tpsgc,2018-2019,1440103.53,1457930.82
pwgsc-tpsgc,2019-2020,2290272.50,2285776.59
pwgsc-tpsgc,2020-2021,645580.11,630685.47
pwgsc-tpsgc,2021-2022,734241.69,470291.64
rcmp-grc,2021-2022,157302.78,103972.94
vac-acc,2020-2021,24978.17,23609.65
vrab-tacra,2019-2020,1216.06,1217.73
vrab-tacra,2020-2021,27023.34,26582.13
wd-deo,2019-2020,24617.56,24450.45
