owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2018-2019,21115.48,21323.24
csc-scc,2017-2018,130407.64,133481.62
csc-scc,2020-2021,34613.74,32592.92
csc-scc,2021-2022,13241.91,12227.68
dfatd-maecd,2017-2018,48293.88,49474.74
dfatd-maecd,2018-2019,20590.40,20848.93
dfatd-maecd,2019-2020,23574.30,23532.61
dfatd-maecd,2020-2021,11966.70,11488.44
dfatd-maecd,2021-2022,11780.13,11138.83
dfo-mpo,2017-2018,156080.53,160227.45
dfo-mpo,2018-2019,107394.51,108613.75
dfo-mpo,2019-2020,37406.71,36501.45
dfo-mpo,2020-2021,163369.27,153831.45
dfo-mpo,2021-2022,142968.56,130610.44
dnd-mdn,2017-2018,322970.47,330732.26
dnd-mdn,2018-2019,332354.77,337153.68
dnd-mdn,2019-2020,126965.34,124583.08
dnd-mdn,2020-2021,379099.38,357616.86
dnd-mdn,2021-2022,830495.46,768715.42
nrcan-rncan,2020-2021,11207.76,10553.43
pc,2017-2018,13903.35,14250.01
pc,2018-2019,140703.55,142188.06
pwgsc-tpsgc,2017-2018,90454.33,92631.56
pwgsc-tpsgc,2018-2019,15076.98,15225.33
pwgsc-tpsgc,2019-2020,243924.43,238916.07
pwgsc-tpsgc,2020-2021,54744.60,51900.45
pwgsc-tpsgc,2021-2022,27779.90,25383.27
rcmp-grc,2018-2019,23073.16,23300.18
rcmp-grc,2021-2022,70190.76,64568.35
ssc-spc,2017-2018,91348.45,93929.09
ssc-spc,2018-2019,32915.50,33329.19
ssc-spc,2019-2020,28634.66,28388.93
