owner_org,d_fiscal_year,total,total_constant_2019_dollars
csc-scc,2022-2023,13797.00,12252.02
dfo-mpo,2017-2018,12678.29,13111.69
dfo-mpo,2021-2022,16009.35,15027.12
infc,2017-2018,566569.99,584083.28
infc,2018-2019,566569.99,577427.26
infc,2019-2020,568122.24,563590.34
infc,2020-2021,566569.99,539556.32
infc,2021-2022,566569.99,526754.66
infc,2022-2023,566569.99,506969.21
tc,2017-2018,404227.26,416600.57
tc,2018-2019,302813.84,307589.91
tc,2019-2020,355345.83,350375.33
tc,2020-2021,134103.17,127692.70
tc,2021-2022,153345.82,141222.69
tc,2022-2023,46804.94,41745.78
