d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2020-2021,14929.94,14160.18
1_facilities_and_construction,2021-2022,18865.81,17975.50
2_professional_services,2017-2018,1986595.42,2047483.06
5_transportation_and_logistics,2017-2018,7234317.30,7456234.04
5_transportation_and_logistics,2018-2019,15072191.08,15332903.02
5_transportation_and_logistics,2019-2020,13515178.52,13353144.88
5_transportation_and_logistics,2020-2021,16984499.79,16229733.70
5_transportation_and_logistics,2021-2022,15757027.39,14594536.10
6_industrial_products_and_services,2017-2018,0.00,0.00
6_industrial_products_and_services,2021-2022,12880.00,12182.43
