owner_org,d_fiscal_year,total,total_constant_2019_dollars
dfo-mpo,2017-2018,19754.32,20347.33
dfo-mpo,2018-2019,1686800.26,1712741.23
dfo-mpo,2019-2020,3055205.62,3048947.75
dfo-mpo,2021-2022,532902.97,0.00
dnd-mdn,2017-2018,37266.63,38587.52
dnd-mdn,2018-2019,90075.24,91410.46
dnd-mdn,2019-2020,10118.85,10132.72
dnd-mdn,2020-2021,82754.93,79921.42
dnd-mdn,2021-2022,31082.98,22386.42
ec,2018-2019,11100.69,11264.75
ec,2019-2020,88046.41,87933.52
ec,2020-2021,21248.46,21434.34
pwgsc-tpsgc,2019-2020,31206.00,31248.79
