d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2018-2019,12172.10,12291.86
1_facilities_and_construction,2019-2020,68993.98,67633.80
1_facilities_and_construction,2020-2021,179877.17,171003.88
1_facilities_and_construction,2021-2022,111376.00,104581.15
10_office_management,2017-2018,6285.71,6448.59
10_office_management,2018-2019,5751.85,5844.35
11_defence,2017-2018,937063.55,961549.53
11_defence,2018-2019,366122.57,372105.73
11_defence,2019-2020,115686.10,115288.79
11_defence,2020-2021,102360.70,96821.13
11_defence,2021-2022,2368788.63,2161093.32
2_professional_services,2017-2018,420838.97,430938.19
2_professional_services,2018-2019,182295.68,185180.67
2_professional_services,2019-2020,170545.57,168244.53
2_professional_services,2020-2021,399455.00,379785.79
3_information_technology,2017-2018,77521899.28,79531799.61
3_information_technology,2018-2019,72318424.44,73435683.33
3_information_technology,2019-2020,78389524.15,77802292.85
3_information_technology,2020-2021,48920297.56,46508328.51
3_information_technology,2021-2022,17014730.59,15797087.43
4_medical,2020-2021,7566480.00,7210090.22
5_transportation_and_logistics,2017-2018,36447.29,37365.67
5_transportation_and_logistics,2018-2019,6066.32,6128.75
5_transportation_and_logistics,2019-2020,26877.62,26665.48
5_transportation_and_logistics,2020-2021,24703.98,23467.86
5_transportation_and_logistics,2021-2022,22174.08,20966.95
9_human_capital,2017-2018,14680.96,15068.00
