d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
2_professional_services,2017-2018,816280.97,841510.76
2_professional_services,2018-2019,785950.45,795657.36
2_professional_services,2019-2020,283298.02,282960.22
2_professional_services,2020-2021,404707.39,385189.42
2_professional_services,2021-2022,564111.72,513461.29
2_professional_services,2022-2023,965752.81,860035.36
3_information_technology,2020-2021,39375.00,37173.84
3_information_technology,2021-2022,1374.31,1242.35
3_information_technology,2022-2023,167207.57,149618.04
9_human_capital,2020-2021,35256.00,33869.47
9_human_capital,2021-2022,26756.10,24722.37
9_human_capital,2022-2023,40650.45,36679.71
