owner_org,d_fiscal_year,total,total_constant_2019_dollars
cnsc-ccsn,2020-2021,39663.00,37347.40
dfatd-maecd,2017-2018,356159.34,365388.60
dfatd-maecd,2018-2019,356159.34,361698.15
dfatd-maecd,2019-2020,875152.09,867839.81
dfatd-maecd,2020-2021,932998.59,886975.25
dfatd-maecd,2021-2022,891634.43,827176.47
dnd-mdn,2018-2019,758937.75,769013.54
dnd-mdn,2019-2020,1550530.10,1539907.81
dnd-mdn,2020-2021,1480017.39,1405995.87
dnd-mdn,2021-2022,1330126.92,1231994.46
esdc-edsc,2017-2018,237674.69,243833.62
nrcan-rncan,2021-2022,99666.00,93535.26
ssc-spc,2017-2018,22995.00,23543.94
