normalized_vendor_name,original_vendor_name
IBISKA TELECOM,IBISKA TELECOM INC.
IBISKA TELECOM,IBISKA Telecom Inc.
IBISKA TELECOM,IBISKA Telecom Inc
IBISKA TELECOM,Ibiska Telecom Inc.
IBISKA TELECOM,ibiska Telecom inc.
IBISKA TELECOM,IBISKA Telecom
IBISKA TELECOM,Ibiska
IBISKA TELECOM,IBISKA
IBISKA TELECOM,Ibiska Telecom Inc
IBISKA TELECOM,IBISKA TELECOM INC
IBISKA TELECOM,IBISKA TELECOM
IBISKA TELECOM,Ibiska Telecom
IBISKA TELECOM,IBISKA Telecom Inc/
IBISKA TELECOM,"IBISKA TELECOM INC. AND C M INC., AS A CONTRACTUAL JOINT VENTURE"
IBISKA TELECOM,IBISKA Telecom and CM Inc. in joint venture
IBISKA TELECOM,"IBISKA Telecom Inc. and C M Inc., as a contractual Joint Venture"
IBISKA TELECOM,Elytra-IBISKA JV (Elytra Enterprises Inc. and IBISKA Telecom Inc. - in
IBISKA TELECOM,Elytra-IBISKA JV (Elytra Enterprise
IBISKA TELECOM,ELYTRA-IBISKA JV (ELYTRA ENTERPRISES INC. AND IBISKA TELECOM INC. - IN
