owner_org,d_fiscal_year,total
cbsa-asfc,2017-2018,3473167.5085629527
cbsa-asfc,2018-2019,2218846.286971835
cbsa-asfc,2019-2020,1726615.976878093
cbsa-asfc,2020-2021,1179888.5890954074
cfia-acia,2017-2018,168528.2
cic,2017-2018,523432.5614460905
cic,2018-2019,568807.0783561644
cic,2019-2020,423838.9083376527
cic,2020-2021,563944.4190048131
cra-arc,2017-2018,1822578.630016822
cra-arc,2018-2019,411100.301806984
csps-efpc,2018-2019,67229.05263157895
csps-efpc,2019-2020,10062.947368421053
cta-otc,2018-2019,42137.34332151261
cta-otc,2019-2020,176284.41667848738
dfatd-maecd,2017-2018,546470.9253495155
dfatd-maecd,2018-2019,1264066.0881086371
dfatd-maecd,2019-2020,370150.7719397898
dfatd-maecd,2020-2021,708607.1239558468
dnd-mdn,2017-2018,9726675.175728343
dnd-mdn,2018-2019,7056863.508686231
dnd-mdn,2019-2020,11344573.877350245
dnd-mdn,2020-2021,17622959.5801599
ec,2019-2020,43438.99
elections,2019-2020,2107866.8378509195
elections,2020-2021,223438.83107454018
esdc-edsc,2017-2018,49792.17
esdc-edsc,2018-2019,53347.99
esdc-edsc,2019-2020,96785.95
esdc-edsc,2020-2021,1225922.7234050033
fin,2017-2018,13690.018072289156
hc-sc,2017-2018,5736.923076923077
hc-sc,2018-2019,43983.07692307692
hc-sc,2019-2020,6091.054708520181
hc-sc,2020-2021,13723.672645739913
ic,2017-2018,164931.41
ic,2018-2019,397921.1681096523
ic,2019-2020,1577235.4207815295
ic,2020-2021,2432144.6828783276
infc,2020-2021,50499.806603773584
jus,2017-2018,365047.2246772229
jus,2018-2019,275176.46090133983
jus,2019-2020,315339.1190133983
jus,2020-2021,314585.21090133983
nrc-cnrc,2020-2021,104638.95337363966
nrcan-rncan,2017-2018,462064.4200273723
nrcan-rncan,2018-2019,344332.9376642336
osfi-bsif,2017-2018,429843.46814237186
osfi-bsif,2018-2019,442224.16174892924
osfi-bsif,2019-2020,443002.43787319085
osfi-bsif,2020-2021,429843.46814237186
pch,2017-2018,501919.1106566504
pch,2018-2019,291659.6847650496
pch,2019-2020,318413.7342010772
pch,2020-2021,205500.75623877917
pco-bcp,2018-2019,128286.4593487704
pco-bcp,2019-2020,686402.6694989225
pco-bcp,2020-2021,1003626.125904011
pwgsc-tpsgc,2017-2018,2806128.2856062837
pwgsc-tpsgc,2018-2019,2621045.2928862837
pwgsc-tpsgc,2019-2020,1664946.0669745703
pwgsc-tpsgc,2020-2021,1687956.5667939498
rcmp-grc,2017-2018,284861.1174400816
rcmp-grc,2018-2019,284861.1174400816
rcmp-grc,2019-2020,285641.5588577257
ssc-spc,2017-2018,13104679.167281983
ssc-spc,2018-2019,24090548.03356884
ssc-spc,2019-2020,28401829.746679712
ssc-spc,2020-2021,18568287.59068781
tbs-sct,2017-2018,599300.7931385676
tbs-sct,2018-2019,714420.3346278757
tbs-sct,2019-2020,698301.1238532111
tc,2017-2018,986082.6123404747
tc,2018-2019,978839.0746962347
tc,2019-2020,64101.14509554293
tc,2020-2021,83027.93547239003
