owner_org,d_fiscal_year,total
aafc-aac,2018-2019,65679.97
aafc-aac,2019-2020,115877.97
aafc-aac,2020-2021,70861.71
aafc-aac,2021-2022,68634.95
acoa-apeca,2017-2018,31738.11
acoa-apeca,2018-2019,44814.08
acoa-apeca,2019-2020,62817.75
acoa-apeca,2020-2021,72965.42
acoa-apeca,2021-2022,58785.48
atssc-scdata,2017-2018,37290.00
atssc-scdata,2018-2019,38646.00
atssc-scdata,2019-2020,22748.15
atssc-scdata,2020-2021,20417.85
atssc-scdata,2021-2022,29116.85
cas-satj,2018-2019,17597.04
cas-satj,2019-2020,26698.96
cas-satj,2021-2022,8014.52
cbsa-asfc,2019-2020,78893.55
cbsa-asfc,2020-2021,182467.81
cbsa-asfc,2021-2022,475188.78
ccohs-cchst,2017-2018,12142.08
ccohs-cchst,2018-2019,8762.92
ccohs-cchst,2020-2021,16049.70
ccohs-cchst,2021-2022,14660.44
cfia-acia,2017-2018,77202.87
cfia-acia,2018-2019,100011.17
cfia-acia,2019-2020,78790.02
cfia-acia,2020-2021,134445.91
cfia-acia,2021-2022,94834.75
cgc-ccg,2017-2018,115689.34
cgc-ccg,2019-2020,10649.70
cgc-ccg,2020-2021,15930.90
cgc-ccg,2021-2022,15930.90
chrc-ccdp,2018-2019,40031.41
chrc-ccdp,2019-2020,16618.64
chrc-ccdp,2020-2021,10230.51
chrc-ccdp,2021-2022,17186.34
cic,2021-2022,61937.16
cihr-irsc,2017-2018,82159.07
cihr-irsc,2018-2019,123048.93
cihr-irsc,2019-2020,141.17
cihr-irsc,2020-2021,51469.89
cihr-irsc,2021-2022,51176.09
cnsc-ccsn,2017-2018,47662.83
cnsc-ccsn,2018-2019,38883.51
cnsc-ccsn,2019-2020,10023.25
csa-asc,2018-2019,11499.03
csa-asc,2019-2020,56115.27
csc-scc,2020-2021,78422.00
csc-scc,2021-2022,39211.00
csps-efpc,2020-2021,13225.91
csps-efpc,2021-2022,48199.27
dfatd-maecd,2018-2019,49381.00
dfatd-maecd,2019-2020,1544.44
dfatd-maecd,2020-2021,17020.08
dfatd-maecd,2021-2022,16087.68
dfo-mpo,2017-2018,142680.00
dfo-mpo,2018-2019,172555.00
dfo-mpo,2019-2020,552245.50
dfo-mpo,2020-2021,441622.00
dfo-mpo,2021-2022,548818.29
dnd-mdn,2019-2020,17176.00
dnd-mdn,2021-2022,72450.64
ec,2018-2019,61224.19
ec,2019-2020,33572.70
elections,2017-2018,72000.27
elections,2018-2019,79238.94
elections,2019-2020,13671.00
esdc-edsc,2017-2018,63315.00
