owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2019-2020,165657.67,162076.68
csa-asc,2017-2018,87110.19,90137.27
csps-efpc,2017-2018,37001.79,38031.68
dfatd-maecd,2017-2018,898189.60,923818.95
dfatd-maecd,2018-2019,1099552.31,1120010.44
dfatd-maecd,2019-2020,1173473.00,1158909.64
dfatd-maecd,2020-2021,1487798.65,1424187.10
dfatd-maecd,2021-2022,1019915.48,954063.08
dnd-mdn,2017-2018,922951.95,950723.40
dnd-mdn,2018-2019,141591.47,143215.47
dnd-mdn,2019-2020,244616.36,240921.81
dnd-mdn,2020-2021,571650.05,546979.02
dnd-mdn,2021-2022,316940.62,292115.72
esdc-edsc,2019-2020,20616.17,20175.58
fpcc-cpac,2020-2021,149990.75,142607.35
irb-cisr,2019-2020,11492.10,11362.98
nrcan-rncan,2021-2022,52936.89,49381.43
osfi-bsif,2017-2018,10618.81,10911.43
osfi-bsif,2020-2021,10999.34,10432.24
osfi-bsif,2021-2022,150.68,143.57
pch,2017-2018,17200.26,17674.25
pch,2019-2020,87945.34,86364.95
pch,2020-2021,11592.03,10924.27
pch,2021-2022,48766.63,44342.06
pco-bcp,2017-2018,90511.19,93005.42
pco-bcp,2018-2019,60090.24,61025.51
pco-bcp,2020-2021,31252.27,29640.96
phac-aspc,2019-2020,10676.58,10715.41
pwgsc-tpsgc,2017-2018,12622.10,13021.65
pwgsc-tpsgc,2019-2020,14620.05,14271.79
pwgsc-tpsgc,2020-2021,59958.61,57163.01
rcmp-grc,2017-2018,191610.84,197159.88
rcmp-grc,2018-2019,97583.42,98415.64
rcmp-grc,2019-2020,11371.06,11248.76
rcmp-grc,2020-2021,22534.69,21372.84
rcmp-grc,2021-2022,82940.89,78554.56
ssc-spc,2017-2018,34708.16,35746.09
ssc-spc,2018-2019,25561.26,25926.49
ssc-spc,2019-2020,24841.20,24296.71
ssc-spc,2020-2021,5097.96,4859.75
ssc-spc,2021-2022,32290.25,29825.29
