d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,852330.66,878786.78
it_consulting_services,2018-2019,1149027.66,1170105.73
it_consulting_services,2019-2020,340005.18,337918.93
it_consulting_services,2020-2021,3362675.11,3208273.10
it_consulting_services,2021-2022,3174335.31,2968412.24
it_devices_equipment,2017-2018,6036866.80,6221592.74
it_devices_equipment,2018-2019,4163605.76,4233772.18
it_devices_equipment,2019-2020,5369550.59,5326991.18
it_devices_equipment,2020-2021,338098.14,320686.60
it_devices_equipment,2021-2022,1979926.73,1843439.14
it_other,2017-2018,189939.52,195711.62
it_other,2018-2019,637986.42,648575.70
it_other,2019-2020,485878.60,481945.09
it_other,2020-2021,629161.88,599847.37
it_other,2021-2022,3708551.41,3458575.38
it_software_licensing,2017-2018,3675906.67,3787047.52
it_software_licensing,2018-2019,7880084.37,7996572.10
it_software_licensing,2019-2020,5042931.53,4999239.65
it_software_licensing,2020-2021,6520271.96,6215767.61
it_software_licensing,2021-2022,6533201.74,6094391.82
