owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2017-2018,16363.96,16814.90
aafc-aac,2018-2019,49091.87,50344.71
aafc-aac,2019-2020,18469.63,18029.67
acoa-apeca,2018-2019,46514.12,47042.88
acoa-apeca,2019-2020,39711.87,38955.20
acoa-apeca,2020-2021,297802.02,282691.28
acoa-apeca,2021-2022,12044.18,10951.42
cbsa-asfc,2021-2022,3808.80,3463.23
cra-arc,2020-2021,132150.31,126118.66
csc-scc,2018-2019,59153.02,59833.15
csc-scc,2019-2020,11131.61,10915.98
csc-scc,2020-2021,63416.63,60146.98
csc-scc,2021-2022,27307.39,24829.81
csps-efpc,2017-2018,4312.04,4430.86
csps-efpc,2018-2019,35224.70,35870.39
dfo-mpo,2017-2018,357374.88,367455.47
dfo-mpo,2018-2019,384422.64,389377.83
dfo-mpo,2019-2020,83735.61,82238.95
dfo-mpo,2021-2022,32902.01,30018.19
dnd-mdn,2017-2018,1165966.02,1198322.86
dnd-mdn,2018-2019,645349.42,652880.87
dnd-mdn,2019-2020,1085248.32,1062990.92
dnd-mdn,2020-2021,1139487.19,1084097.49
dnd-mdn,2021-2022,1118749.25,1035381.83
ec,2017-2018,15214.30,15638.15
esdc-edsc,2019-2020,10901.81,10642.12
esdc-edsc,2020-2021,63161.29,60216.36
iaac-aeic,2018-2019,15634.13,15767.46
iaac-aeic,2019-2020,15381.96,15437.91
nrc-cnrc,2019-2020,17998.99,17570.24
nrc-cnrc,2020-2021,140555.50,134068.65
pch,2017-2018,10420.69,10707.85
pwgsc-tpsgc,2017-2018,296908.71,305445.90
pwgsc-tpsgc,2018-2019,426119.13,430464.84
pwgsc-tpsgc,2019-2020,259301.30,255822.83
pwgsc-tpsgc,2020-2021,65679.40,62800.77
pwgsc-tpsgc,2021-2022,185191.78,170456.69
rcmp-grc,2020-2021,13661.66,13128.25
ssc-spc,2018-2019,60577.58,61094.20
ssc-spc,2019-2020,48128.48,47540.18
ssc-spc,2020-2021,14333.60,13771.30
ssc-spc,2021-2022,16331.32,15128.10
tc,2019-2020,37648.55,36751.73
vac-acc,2019-2020,42918.19,41927.84
