d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2018-2019,763420.09,775846.30
11_defence,2021-2022,1944099.75,1835497.87
3_information_technology,2018-2019,28832.81,29123.59
5_transportation_and_logistics,2017-2018,49439.54,50827.20
5_transportation_and_logistics,2018-2019,146877.40,148628.99
5_transportation_and_logistics,2020-2021,14578.69,13827.04
5_transportation_and_logistics,2021-2022,56579.82,52945.19
6_industrial_products_and_services,2018-2019,118203.54,119211.61
6_industrial_products_and_services,2019-2020,1629752.62,1611638.55
6_industrial_products_and_services,2020-2021,2041404.85,1946743.54
6_industrial_products_and_services,2021-2022,1070834.98,1002045.66
