d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2019-2020,11675.11,11648.13
11_defence,2017-2018,119642.09,123394.50
11_defence,2019-2020,335189.75,330794.39
11_defence,2020-2021,71275.90,67885.11
11_defence,2021-2022,61817.48,58297.22
5_transportation_and_logistics,2017-2018,80326.55,82699.54
5_transportation_and_logistics,2018-2019,169383.63,173488.64
5_transportation_and_logistics,2019-2020,8723149.13,8656472.84
5_transportation_and_logistics,2020-2021,8196308.88,7805641.79
5_transportation_and_logistics,2021-2022,42876.47,40057.93
5_transportation_and_logistics,2022-2023,17505.98,15812.53
6_industrial_products_and_services,2018-2019,20399.84,20590.41
6_industrial_products_and_services,2019-2020,98509.85,97845.70
6_industrial_products_and_services,2020-2021,10085.73,9503.54
8_security_and_protection,2017-2018,1289151.65,1325967.85
8_security_and_protection,2018-2019,13294376.35,13627214.74
9_human_capital,2021-2022,783478.26,723926.25
9_human_capital,2022-2023,1043684.54,933893.30
