d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,947707.96
1_facilities_and_construction,2018-2019,654027.99
1_facilities_and_construction,2019-2020,592953.44
1_facilities_and_construction,2020-2021,280123.41
10_office_management,2017-2018,10182.86
2_professional_services,2017-2018,615183.16
2_professional_services,2018-2019,294127.85
2_professional_services,2019-2020,370507.62
2_professional_services,2020-2021,48697.34
6_industrial_products_and_services,2017-2018,2365410.54
6_industrial_products_and_services,2018-2019,2957278.39
6_industrial_products_and_services,2019-2020,1752066.22
6_industrial_products_and_services,2020-2021,1496139.85
