owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2017-2018,64594.95,66439.68
aafc-aac,2019-2020,23598.63,23528.14
aafc-aac,2020-2021,5057.35,4816.22
aafc-aac,2021-2022,26688.37,24815.33
aafc-aac,2022-2023,7523.22,6710.88
cfia-acia,2018-2019,28812.00,29302.09
cfia-acia,2020-2021,18235.38,17380.34
cfia-acia,2021-2022,20108.50,18695.39
cfia-acia,2022-2023,20108.50,17993.17
csa-asc,2017-2018,50175.59,51737.83
csa-asc,2018-2019,25315.59,25800.72
csa-asc,2019-2020,25384.95,25182.46
csa-asc,2020-2021,39150.64,37261.74
csa-asc,2021-2022,18010.92,16745.21
dfatd-maecd,2017-2018,24441.87,25139.89
dnd-mdn,2017-2018,34066.20,35095.24
dnd-mdn,2018-2019,92586.93,94430.71
dnd-mdn,2020-2021,126130.97,119116.88
dnd-mdn,2021-2022,18284.43,17168.08
dnd-mdn,2022-2023,36908.48,33014.51
ec,2018-2019,39994.50,40368.11
ec,2019-2020,260293.13,257302.83
ec,2020-2021,293346.63,279896.78
ec,2021-2022,280023.55,260908.89
ec,2022-2023,216927.64,194642.96
hc-sc,2021-2022,14590.97,13455.72
nbc-ccbn,2019-2020,25195.78,24620.68
nbc-ccbn,2020-2021,33229.22,31389.30
nbc-ccbn,2021-2022,58125.77,52544.77
nbc-ccbn,2022-2023,22798.23,20592.82
nrc-cnrc,2017-2018,122806.13,126565.91
nrc-cnrc,2018-2019,34801.44,35393.25
nrc-cnrc,2019-2020,33608.56,33177.55
nrc-cnrc,2020-2021,52697.96,50008.67
nrc-cnrc,2021-2022,229173.76,209829.23
nrc-cnrc,2022-2023,444728.12,395786.02
nrcan-rncan,2017-2018,4469.83,4607.99
nrcan-rncan,2018-2019,16931.98,17225.21
nrcan-rncan,2019-2020,21137.38,20968.77
nrcan-rncan,2020-2021,21079.63,20074.56
nrcan-rncan,2021-2022,26807.16,24811.74
nrcan-rncan,2022-2023,40090.98,35873.58
pc,2021-2022,12122.55,11259.82
pch,2018-2019,13652.84,13780.38
pch,2019-2020,84693.92,84018.32
pch,2020-2021,84462.52,80435.40
pch,2021-2022,84462.52,78526.97
pch,2022-2023,84462.52,75577.41
phac-aspc,2018-2019,5993.92,6093.79
phac-aspc,2019-2020,8006.48,7942.62
phac-aspc,2020-2021,7984.61,7603.91
phac-aspc,2021-2022,12141.56,11264.48
phac-aspc,2022-2023,13522.15,12099.68
