d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,4513726.39,4642867.43
1_facilities_and_construction,2018-2019,3703424.58,3747627.20
1_facilities_and_construction,2019-2020,11463043.28,11437780.31
1_facilities_and_construction,2020-2021,5775987.87,5739852.12
2_professional_services,2017-2018,645772.46,658066.33
2_professional_services,2018-2019,1260464.96,1276550.40
2_professional_services,2019-2020,1263918.29,1261329.45
2_professional_services,2020-2021,1260464.96,1233979.74
2_professional_services,2021-2022,528359.29,485571.77
6_industrial_products_and_services,2019-2020,25758.85,25642.25
