d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,14076.622950819672
1_facilities_and_construction,2018-2019,17634.797639409946
1_facilities_and_construction,2019-2020,192293.71236059009
1_facilities_and_construction,2020-2021,4924.6
11_defence,2017-2018,1585878.1696254718
11_defence,2018-2019,856254.308480098
11_defence,2019-2020,256885.46022720484
11_defence,2020-2021,176792.93418524612
3_information_technology,2017-2018,24673.06
5_transportation_and_logistics,2017-2018,11245.250000000002
6_industrial_products_and_services,2017-2018,436381.3144784842
6_industrial_products_and_services,2018-2019,1472702.8418476772
6_industrial_products_and_services,2019-2020,253124.94479834815
6_industrial_products_and_services,2020-2021,155714.90434143005
