d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,1335092.70,1376317.05
1_facilities_and_construction,2018-2019,1624031.14,1652014.74
1_facilities_and_construction,2019-2020,169448.51,168414.12
1_facilities_and_construction,2020-2021,81014.18,77151.48
1_facilities_and_construction,2021-2022,76304.59,71514.61
1_facilities_and_construction,2022-2023,64033.29,57241.85
10_office_management,2017-2018,48590.00,50023.05
10_office_management,2018-2019,12430.00,12663.90
10_office_management,2019-2020,22800.00,22650.32
10_office_management,2020-2021,21850.00,20830.48
2_professional_services,2017-2018,15876.18,16368.39
2_professional_services,2018-2019,15562.34,15860.56
2_professional_services,2019-2020,15604.98,15480.50
2_professional_services,2020-2021,24349.97,23199.13
2_professional_services,2021-2022,105558.19,98400.74
2_professional_services,2022-2023,98961.04,88394.46
3_information_technology,2017-2018,29141.44,30024.91
3_information_technology,2018-2019,55797.86,56867.13
3_information_technology,2019-2020,55950.73,55504.42
3_information_technology,2020-2021,21871.50,20827.97
3_information_technology,2021-2022,21778.30,20247.84
3_information_technology,2022-2023,21778.30,19487.31
6_industrial_products_and_services,2017-2018,277593.71,286138.66
6_industrial_products_and_services,2018-2019,895199.77,908159.49
6_industrial_products_and_services,2019-2020,319788.36,317200.38
6_industrial_products_and_services,2020-2021,299946.49,285650.62
6_industrial_products_and_services,2021-2022,238646.39,221557.07
6_industrial_products_and_services,2022-2023,256946.41,229546.15
