owner_org,d_fiscal_year,total,total_constant_2019_dollars
cbsa-asfc,2017-2018,156701.65,159548.23
cic,2021-2022,25076.33,11943.27
csa-asc,2017-2018,1598968.04,1641820.34
csa-asc,2018-2019,1580266.55,1600433.15
csa-asc,2019-2020,1584596.05,1581350.38
csa-asc,2020-2021,1834097.32,1791065.84
csa-asc,2021-2022,2066612.73,1569882.56
dfo-mpo,2019-2020,62232.63,62176.01
dnd-mdn,2017-2018,184374114.05,189663128.64
dnd-mdn,2018-2019,151088053.85,153031615.60
dnd-mdn,2019-2020,130513000.65,130279582.43
dnd-mdn,2020-2021,102170070.74,100069272.85
dnd-mdn,2021-2022,97319142.23,74691707.76
ec,2017-2018,190500.18,195606.64
ec,2018-2019,153443.98,155516.44
nrc-cnrc,2017-2018,79546.98,81488.01
nrc-cnrc,2018-2019,402725.45,411445.34
nrc-cnrc,2019-2020,17401.25,17360.36
nrc-cnrc,2020-2021,6696.83,6381.62
nrc-cnrc,2021-2022,41661.05,35640.03
pco-bcp,2017-2018,410879.44,418149.52
pco-bcp,2020-2021,899723.48,895458.70
pco-bcp,2021-2022,1676.06,1548.17
pwgsc-tpsgc,2017-2018,491237.75,504405.64
pwgsc-tpsgc,2018-2019,44905.41,45381.81
rcmp-grc,2017-2018,2691639.12,2764784.40
rcmp-grc,2018-2019,5528612.88,5594974.91
rcmp-grc,2019-2020,1914446.79,1909199.28
rcmp-grc,2020-2021,2334963.06,2266254.80
rcmp-grc,2021-2022,1783110.07,1477918.56
ssc-spc,2017-2018,148036.41,153283.45
tc,2019-2020,49603.94,49671.95
tc,2021-2022,64088.22,1610.51
tsb-bst,2018-2019,369.53,373.11
tsb-bst,2019-2020,44907.44,44810.46
tsb-bst,2020-2021,16975.69,16873.31
tsb-bst,2021-2022,8430.01,6403.78
