d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2018-2019,5472.93,5526.78
it_consulting_services,2019-2020,19077.07,19119.09
it_consulting_services,2020-2021,38347.50,36459.39
it_other,2020-2021,8713.31,8289.30
it_other,2021-2022,14134.93,13123.50
it_software_licensing,2017-2018,221241.80,226895.57
it_software_licensing,2018-2019,135208.30,137708.72
it_software_licensing,2019-2020,65170.28,64655.43
it_software_licensing,2020-2021,60990.91,58009.04
it_software_licensing,2021-2022,56720.12,52818.81
