d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2017-2018,810186.01,835089.73
11_defence,2018-2019,1136396.00,1158941.77
11_defence,2019-2020,735300.51,729827.44
11_defence,2020-2021,494555.58,472317.41
11_defence,2021-2022,413209.35,384155.80
11_defence,2022-2023,126645.40,113035.16
5_transportation_and_logistics,2017-2018,139329.17,143596.69
5_transportation_and_logistics,2018-2019,97324.50,98961.71
5_transportation_and_logistics,2019-2020,726023.35,721631.82
5_transportation_and_logistics,2020-2021,368693.14,351127.04
5_transportation_and_logistics,2021-2022,215092.50,201694.02
5_transportation_and_logistics,2022-2023,211503.65,187793.51
6_industrial_products_and_services,2021-2022,63950.56,58861.72
6_industrial_products_and_services,2022-2023,192603.29,173164.71
