d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,2970740.66,3062917.80
1_facilities_and_construction,2018-2019,2849969.28,2904277.48
1_facilities_and_construction,2019-2020,2059910.08,2050976.84
1_facilities_and_construction,2020-2021,792281.53,754417.33
1_facilities_and_construction,2021-2022,829554.92,771225.64
1_facilities_and_construction,2022-2023,913907.21,817768.00
2_professional_services,2017-2018,271634.96,280031.49
2_professional_services,2018-2019,271634.96,276840.34
2_professional_services,2019-2020,272379.17,270206.40
2_professional_services,2020-2021,271634.96,258683.59
2_professional_services,2021-2022,271634.96,252545.99
2_professional_services,2022-2023,271634.96,243060.10
