owner_org,d_fiscal_year,total,total_constant_2019_dollars
cbsa-asfc,2019-2020,2429.47,2370.68
cbsa-asfc,2020-2021,11539.99,10893.52
csa-asc,2017-2018,523690.28,537260.80
csa-asc,2018-2019,594008.03,603008.50
csa-asc,2019-2020,646522.67,641066.69
csa-asc,2020-2021,644756.22,612950.58
csa-asc,2021-2022,644756.22,598620.69
dnd-mdn,2017-2018,2308492.15,2368659.39
dnd-mdn,2018-2019,2117403.01,2150331.76
dnd-mdn,2019-2020,1272020.09,1269216.90
nrc-cnrc,2017-2018,138558.24,142148.74
nrc-cnrc,2018-2019,138558.24,140713.02
nrc-cnrc,2019-2020,138937.85,137765.36
nrc-cnrc,2020-2021,135985.32,129277.20
nrc-cnrc,2021-2022,182602.26,169512.51
tc,2017-2018,299279.65,307034.96
tc,2018-2019,299279.65,303933.89
tc,2019-2020,300099.59,297567.06
tc,2020-2021,299279.65,284516.27
tc,2021-2022,299279.65,277864.69
