d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2017-2018,2882116.91,2954018.42
11_defence,2018-2019,2494478.81,2533820.77
11_defence,2019-2020,2539019.82,2509424.11
11_defence,2020-2021,1112559.37,1059911.67
11_defence,2021-2022,2004385.63,1854056.13
5_transportation_and_logistics,2017-2018,70256.32,72179.01
5_transportation_and_logistics,2018-2019,537406.28,546183.41
5_transportation_and_logistics,2019-2020,672445.73,670124.57
5_transportation_and_logistics,2020-2021,473556.63,452691.91
5_transportation_and_logistics,2021-2022,915198.98,852156.04
6_industrial_products_and_services,2019-2020,173475.21,173758.42
