d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
2_professional_services,2017-2018,158175.24,163012.25
2_professional_services,2018-2019,133385.86,135941.95
2_professional_services,2019-2020,298542.97,294463.40
2_professional_services,2020-2021,620346.00,591063.14
2_professional_services,2021-2022,313508.56,293604.18
2_professional_services,2022-2023,143340.87,127003.39
3_information_technology,2017-2018,850832.39,876970.48
3_information_technology,2018-2019,919886.42,937793.71
3_information_technology,2019-2020,748244.26,743567.42
3_information_technology,2020-2021,483985.65,460909.55
3_information_technology,2021-2022,454236.67,422913.12
3_information_technology,2022-2023,367363.18,328642.80
