d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2021-2022,73397.37,67301.10
1_facilities_and_construction,2017-2018,498543.17,511347.13
1_facilities_and_construction,2018-2019,804317.97,816452.61
1_facilities_and_construction,2019-2020,1067308.21,1052648.92
1_facilities_and_construction,2020-2021,701543.61,667408.42
1_facilities_and_construction,2021-2022,747701.24,689844.15
11_defence,2017-2018,17070.00,17472.38
2_professional_services,2021-2022,44827.18,40855.64
3_information_technology,2017-2018,33449.85,34335.84
3_information_technology,2019-2020,30531.31,30477.32
3_information_technology,2020-2021,141438.72,134905.14
3_information_technology,2021-2022,161522.70,152137.44
4_medical,2017-2018,181454.38,185891.71
4_medical,2018-2019,222287.99,224956.58
4_medical,2019-2020,283935.47,278530.24
4_medical,2020-2021,28349355.83,26965004.35
4_medical,2021-2022,9280581.96,8645089.01
6_industrial_products_and_services,2017-2018,4142983.85,4245192.36
6_industrial_products_and_services,2018-2019,3283217.77,3327038.34
6_industrial_products_and_services,2019-2020,4152662.79,4089800.77
6_industrial_products_and_services,2020-2021,7870911.04,7475140.22
6_industrial_products_and_services,2021-2022,4947657.29,4570543.17
