d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
3_information_technology,2017-2018,107734.04,110525.78
3_information_technology,2018-2019,107734.04,109409.46
3_information_technology,2019-2020,37029.91,36502.93
3_information_technology,2020-2021,122488.55,116446.22
3_information_technology,2021-2022,122488.55,113723.88
4_medical,2017-2018,1231918.84,1263841.89
4_medical,2018-2019,1231918.84,1251077.00
4_medical,2019-2020,1235293.97,1224869.35
4_medical,2020-2021,1231918.84,1171148.64
4_medical,2021-2022,1231918.84,1143768.89
