d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,12331.43,12688.83
1_facilities_and_construction,2018-2019,27278.62,27801.36
1_facilities_and_construction,2019-2020,27353.36,27135.16
1_facilities_and_construction,2020-2021,27278.62,25977.99
1_facilities_and_construction,2021-2022,86774.26,80662.71
1_facilities_and_construction,2022-2023,65603.62,58776.94
11_defence,2021-2022,18870.28,17519.09
11_defence,2022-2023,16157.44,14536.57
4_medical,2020-2021,0.00,0.00
4_medical,2021-2022,0.00,0.00
5_transportation_and_logistics,2021-2022,12622.15,11410.22
6_industrial_products_and_services,2017-2018,368042.11,379364.48
6_industrial_products_and_services,2018-2019,210836.42,214713.70
6_industrial_products_and_services,2019-2020,164553.81,163350.90
6_industrial_products_and_services,2020-2021,219005.43,207966.67
6_industrial_products_and_services,2021-2022,939165.40,870422.44
6_industrial_products_and_services,2022-2023,961235.24,859157.56
