owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2017-2018,24408.00,24983.35
cihr-irsc,2019-2020,11057.05,10931.18
csps-efpc,2018-2019,4949.50,5024.88
csps-efpc,2019-2020,5220.50,5176.45
dfo-mpo,2018-2019,24408.00,24748.17
elections,2017-2018,131503.51,134692.61
elections,2018-2019,88800.11,90423.61
esdc-edsc,2017-2018,23192.56,23830.38
feddevontario,2020-2021,99616.28,95383.93
ic,2017-2018,373461.46,382461.55
ic,2018-2019,1434532.89,1456629.55
infc,2017-2018,115913.22,118809.64
infc,2018-2019,53586.78,54651.37
irb-cisr,2019-2020,16187.25,16158.63
nrcan-rncan,2019-2020,23159.35,23118.40
nserc-crsng,2018-2019,24860.00,25376.25
osfi-bsif,2018-2019,24860.00,25132.67
pch,2018-2019,99338.41,100354.36
pch,2019-2020,840230.61,827279.43
pch,2020-2021,837752.35,796447.06
pch,2021-2022,362007.51,300664.01
pco-bcp,2018-2019,39342.52,39729.62
pco-bcp,2019-2020,206837.07,205926.57
pco-bcp,2020-2021,115779.44,110411.07
pwgsc-tpsgc,2019-2020,10232.78,10056.50
rcmp-grc,2017-2018,78512.40,80403.14
ssc-spc,2017-2018,262675.51,269315.06
ssc-spc,2018-2019,629921.75,638580.26
ssc-spc,2019-2020,2181049.56,2161663.76
ssc-spc,2020-2021,2062301.80,1960623.57
ssc-spc,2021-2022,595635.35,485479.78
tbs-sct,2018-2019,49494.11,50011.87
