owner_org,d_fiscal_year,total,total_constant_2019_dollars
cbsa-asfc,2017-2018,4731523.48,4877779.97
cbsa-asfc,2018-2019,4731523.48,4822194.34
cbsa-asfc,2019-2020,4744486.56,4706639.90
cbsa-asfc,2020-2021,4806103.48,4576996.45
cbsa-asfc,2021-2022,4718560.40,4387300.38
cbsa-asfc,2022-2023,8495575.20,7600878.06
csc-scc,2017-2018,5130153.23,5285346.91
csc-scc,2018-2019,6742639.01,6871849.17
csc-scc,2019-2020,6761112.00,6707178.76
csc-scc,2020-2021,6742639.01,6421154.59
csc-scc,2021-2022,6742639.01,6268804.52
csc-scc,2022-2023,4119475.34,3705975.09
dfo-mpo,2021-2022,22600.00,20430.04
dfo-mpo,2022-2023,658623.54,589339.11
dnd-mdn,2017-2018,13890534.52,14320202.69
dnd-mdn,2018-2019,14588214.58,14869710.31
dnd-mdn,2019-2020,13446485.15,13368878.02
dnd-mdn,2020-2021,4034414.38,3841626.33
dnd-mdn,2021-2022,6416550.97,5947744.71
dnd-mdn,2022-2023,86544256.82,76993991.61
ec,2017-2018,114309.29,117842.71
ec,2018-2019,114309.29,116499.81
ec,2019-2020,114622.46,113708.12
ec,2020-2021,114309.29,108859.10
ec,2021-2022,66076.37,59731.99
ec,2022-2023,371044.23,332011.94
phac-aspc,2020-2021,56291136.22,53636329.60
phac-aspc,2021-2022,60076797.43,55854940.24
phac-aspc,2022-2023,10040231.90,9068983.35
vac-acc,2018-2019,13293.92,13418.11
vac-acc,2022-2023,2338.57,2069.51
