owner_org,d_fiscal_year,total
aandc-aadnc,2017-2018,230746
cic,2018-2019,1072646.421908416
cic,2019-2020,1029792.9102642271
cic,2020-2021,1056219.9778204053
csc-scc,2020-2021,753507.0839543379
dfatd-maecd,2017-2018,49739.799999999996
dnd-mdn,2018-2019,50419.15729742827
dnd-mdn,2019-2020,352612.30270257173
dnd-mdn,2020-2021,98212.85714285714
elections,2019-2020,826778.0497107039
elections,2020-2021,771054.7268466731
hc-sc,2017-2018,494707.89430794696
hc-sc,2018-2019,891995.6329801886
hc-sc,2019-2020,480657.8928215354
hc-sc,2020-2021,515847.63821702224
irb-cisr,2020-2021,102293.24999999999
oic-ci,2017-2018,142473.47181008902
oic-ci,2018-2019,97594.32818991097
opc-cpvp,2018-2019,11187
ppsc-sppc,2017-2018,777498.3454432997
ppsc-sppc,2018-2019,475228.12654674373
ppsc-sppc,2019-2020,278856.567679378
pwgsc-tpsgc,2017-2018,16530.055792349725
tc,2019-2020,33369.13
tc,2020-2021,362473.0217608109
