d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,6782194.12,6991112.30
1_facilities_and_construction,2018-2019,8388057.74,8548799.28
1_facilities_and_construction,2019-2020,1435950.04,1424495.50
1_facilities_and_construction,2020-2021,77224.45,72766.73
1_facilities_and_construction,2021-2022,1671271.43,1549575.34
1_facilities_and_construction,2022-2023,11013563.59,9870689.89
11_defence,2017-2018,765679.25,787545.88
11_defence,2018-2019,4317658.34,4398027.70
11_defence,2019-2020,1615412.41,1618241.98
2_professional_services,2019-2020,3793703.08,3711959.24
2_professional_services,2021-2022,1313045.45,1225878.73
2_professional_services,2022-2023,3657923.00,3295610.31
5_transportation_and_logistics,2020-2021,193492.19,182323.00
5_transportation_and_logistics,2021-2022,1284084.51,1193846.32
