d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2020-2021,158893.26,151108.52
11_defence,2021-2022,252023.78,234588.12
2_professional_services,2018-2019,32555.62,32929.31
2_professional_services,2019-2020,93123.73,92346.50
2_professional_services,2020-2021,18050.65,17051.18
2_professional_services,2021-2022,569520.00,529497.36
2_professional_services,2022-2023,75907.75,67748.57
3_information_technology,2017-2018,27594.00,28407.80
3_information_technology,2018-2019,320634.32,324559.20
3_information_technology,2019-2020,1838218.81,1818691.60
3_information_technology,2020-2021,2161463.74,2057954.48
3_information_technology,2021-2022,2038523.06,1890513.36
3_information_technology,2022-2023,23655273.86,21107662.62
4_medical,2022-2023,0.00,0.00
