owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2017-2018,3153050.98,3234756.84
aafc-aac,2018-2019,3153050.98,3202085.58
cfia-acia,2017-2018,6818563.08,6992362.77
cfia-acia,2018-2019,7788396.52,7903930.96
csc-scc,2017-2018,63818.46,65505.64
csc-scc,2018-2019,33400.68,33953.96
dfo-mpo,2017-2018,20652.19,21160.88
dfo-mpo,2018-2019,0.00,0.00
dfo-mpo,2019-2020,0.00,0.00
dnd-mdn,2017-2018,583909.11,598896.08
dnd-mdn,2018-2019,942697.81,957467.39
dnd-mdn,2019-2020,565473.57,562799.59
ec,2017-2018,60511.94,62108.49
ec,2018-2019,56926.05,57697.54
hc-sc,2018-2019,17565.85,17738.68
nrc-cnrc,2017-2018,50668.09,52038.69
nrcan-rncan,2017-2018,0.13,0.14
nrcan-rncan,2018-2019,0.20,0.20
nrcan-rncan,2019-2020,0.20,0.20
nrcan-rncan,2020-2021,0.20,0.19
nrcan-rncan,2021-2022,0.20,0.16
pwgsc-tpsgc,2017-2018,207908.19,213183.95
pwgsc-tpsgc,2018-2019,618447.35,626151.24
pwgsc-tpsgc,2019-2020,230538.33,228592.83
rcmp-grc,2017-2018,7929.60,8128.86
rcmp-grc,2018-2019,15768.39,16013.61
rcmp-grc,2019-2020,38799.57,38359.01
rcmp-grc,2020-2021,212828.47,203172.53
rcmp-grc,2021-2022,152781.86,108774.46
