d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2017-2018,23100.00,23736.57
0_other,2019-2020,23000.00,22577.68
1_facilities_and_construction,2017-2018,131943.52,135579.50
1_facilities_and_construction,2018-2019,345281.91,352936.70
1_facilities_and_construction,2019-2020,122067.82,121088.21
1_facilities_and_construction,2020-2021,213734.23,203314.95
1_facilities_and_construction,2021-2022,1171733.53,1096932.58
2_professional_services,2017-2018,1342804.21,1383998.76
2_professional_services,2018-2019,324058.93,329591.52
2_professional_services,2019-2020,1157062.98,1138010.03
2_professional_services,2020-2021,2364272.72,2253920.64
2_professional_services,2021-2022,2492317.12,2322319.03
3_information_technology,2017-2018,83017.19,85524.65
3_information_technology,2018-2019,78548.18,79910.99
3_information_technology,2019-2020,18707.56,18775.60
3_information_technology,2021-2022,33351.41,31014.30
9_human_capital,2017-2018,100640.95,103678.90
9_human_capital,2018-2019,257989.52,262073.27
9_human_capital,2019-2020,241688.80,240277.74
9_human_capital,2020-2021,359505.96,343078.36
9_human_capital,2021-2022,417362.65,390437.84
