owner_org,d_fiscal_year,total,total_constant_2019_dollars
dnd-mdn,2017-2018,1444805.47,1488475.30
dnd-mdn,2018-2019,2268554.32,2307835.41
dnd-mdn,2019-2020,1642436.50,1616968.39
dnd-mdn,2020-2021,4832147.60,4602656.05
dnd-mdn,2021-2022,3977756.78,3701844.87
dnd-mdn,2022-2023,2913288.59,2614312.54
rcmp-grc,2017-2018,423044.18,435626.75
rcmp-grc,2018-2019,228595.06,231490.14
rcmp-grc,2019-2020,242955.26,238458.04
rcmp-grc,2020-2021,352728.26,335026.94
rcmp-grc,2021-2022,317584.80,296640.74
rcmp-grc,2022-2023,188965.34,167682.77
