d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2020-2021,258.19,243.28
0_other,2021-2022,46989.81,43690.96
11_defence,2017-2018,6609809.11,6814135.83
11_defence,2018-2019,6633143.34,6760255.21
11_defence,2019-2020,694538.99,679951.00
11_defence,2020-2021,5053703.80,4798118.77
11_defence,2021-2022,14614389.09,13590829.19
11_defence,2022-2023,11196157.26,10025518.00
2_professional_services,2018-2019,554572.05,565199.39
2_professional_services,2022-2023,80080.88,71656.71
3_information_technology,2017-2018,133611388.29,137722709.91
3_information_technology,2018-2019,137865725.53,140388399.99
3_information_technology,2019-2020,299473323.30,296930398.49
3_information_technology,2020-2021,355266496.54,338158843.80
3_information_technology,2021-2022,384971576.17,357669745.38
3_information_technology,2022-2023,411883082.54,368482503.64
4_medical,2021-2022,11388.10,10585.08
6_industrial_products_and_services,2018-2019,22607.91,23003.29
