owner_org,d_fiscal_year,total,total_constant_2019_dollars
csc-scc,2019-2020,13694.20,13362.79
dfo-mpo,2017-2018,59802.43,61303.13
dfo-mpo,2020-2021,189646.50,178574.56
dnd-mdn,2017-2018,506041.06,518402.97
dnd-mdn,2018-2019,872752.45,885090.09
dnd-mdn,2019-2020,497120.44,493034.98
dnd-mdn,2020-2021,1549239.42,1469637.65
dnd-mdn,2021-2022,800086.31,733899.89
ec,2019-2020,21000.00,20962.86
nrc-cnrc,2020-2021,25227.46,23754.64
nrc-cnrc,2021-2022,378411.98,357811.66
nrcan-rncan,2017-2018,26091.10,26767.20
nrcan-rncan,2018-2019,26091.10,26496.85
nrcan-rncan,2019-2020,26162.58,25941.80
nrcan-rncan,2020-2021,6504.90,6140.50
rcmp-grc,2017-2018,529403.08,542234.72
rcmp-grc,2018-2019,610058.96,618541.76
rcmp-grc,2019-2020,242856.90,240443.60
rcmp-grc,2020-2021,152858.32,144849.91
rcmp-grc,2021-2022,303984.07,279199.30
