owner_org,d_fiscal_year,total,total_constant_2019_dollars
dnd-mdn,2017-2018,894562.96,922614.77
dnd-mdn,2018-2019,1338606.79,1362133.49
dnd-mdn,2019-2020,456108.15,454330.87
dnd-mdn,2020-2021,1179835.86,1123663.94
dnd-mdn,2021-2022,3691913.48,3440426.33
ec,2017-2018,13509.15,13881.42
ec,2018-2019,23391.00,23769.25
ec,2019-2020,19888.00,19625.60
ec,2020-2021,17260.75,16277.92
nrc-cnrc,2017-2018,4785.88,4917.77
nrc-cnrc,2018-2019,37250.12,37887.58
rcmp-grc,2017-2018,91912.98,94730.04
rcmp-grc,2018-2019,15392.01,15555.27
rcmp-grc,2019-2020,46176.02,45805.46
rcmp-grc,2020-2021,103160.88,98327.08
rcmp-grc,2021-2022,192849.31,180460.87
