d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,61445.10
1_facilities_and_construction,2018-2019,193340.20
1_facilities_and_construction,2019-2020,193869.90
1_facilities_and_construction,2020-2021,189953.65
1_facilities_and_construction,2021-2022,252881.33
2_professional_services,2017-2018,586225.44
2_professional_services,2018-2019,1190606.35
2_professional_services,2019-2020,920767.20
2_professional_services,2020-2021,870676.58
2_professional_services,2021-2022,1235794.13
8_security_and_protection,2017-2018,793704.81
