owner_org,d_fiscal_year,total,total_constant_2019_dollars
aandc-aadnc,2017-2018,793704.81,814980.48
aandc-aadnc,2018-2019,147073.33,148951.95
aandc-aadnc,2019-2020,183778.81,183523.74
aandc-aadnc,2021-2022,92957.32,54061.53
cer-rec,2020-2021,73365.25,72167.54
cer-rec,2021-2022,24998.99,3673.56
chrc-ccdp,2021-2022,24015.90,12300.19
cihr-irsc,2021-2022,56539.10,32881.65
cnsc-ccsn,2021-2022,39550.01,23284.60
csa-asc,2017-2018,12068.40,12285.30
dfo-mpo,2017-2018,24973.00,25546.67
dnd-mdn,2017-2018,206251.54,210216.10
dnd-mdn,2018-2019,438449.28,444678.69
dnd-mdn,2019-2020,70369.62,70270.69
dnd-mdn,2020-2021,225905.73,217930.13
dnd-mdn,2021-2022,229488.26,174328.56
ec,2017-2018,157294.73,161253.70
ec,2018-2019,273921.46,278015.80
ec,2019-2020,479690.21,478707.68
ec,2020-2021,478379.58,468327.75
ec,2021-2022,478379.58,363396.47
esdc-edsc,2020-2021,42508.49,40378.29
esdc-edsc,2021-2022,145005.59,110152.11
isc-sac,2018-2019,147073.33,148951.95
isc-sac,2019-2020,148288.81,147985.08
isc-sac,2020-2021,88459.99,85121.10
isc-sac,2021-2022,81789.66,62130.73
nserc-crsng,2021-2022,67619.20,61163.19
pwgsc-tpsgc,2017-2018,247082.87,253361.76
pwgsc-tpsgc,2018-2019,352801.90,357323.15
pwgsc-tpsgc,2019-2020,232509.65,232058.36
pwgsc-tpsgc,2020-2021,152011.19,146082.24
pwgsc-tpsgc,2021-2022,189440.35,132114.26
rcmp-grc,2018-2019,24627.25,24978.92
vac-acc,2021-2022,58891.50,36411.43
