owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2017-2018,420949.41,432954.27
aafc-aac,2018-2019,787930.94,802333.51
aafc-aac,2019-2020,790089.65,783749.11
aafc-aac,2020-2021,402107.10,383926.76
aafc-aac,2021-2022,793346.45,742382.70
aandc-aadnc,2021-2022,28886.22,26831.25
cbsa-asfc,2017-2018,1678582.29,1730932.14
cbsa-asfc,2018-2019,992568.47,1009250.74
cbsa-asfc,2019-2020,2724337.93,2701603.00
cbsa-asfc,2020-2021,2106986.58,2009706.64
cbsa-asfc,2021-2022,15742.14,14999.24
cer-rec,2017-2018,492027.32,507068.77
cer-rec,2018-2019,2306324.56,2343447.08
cer-rec,2019-2020,2416143.32,2395217.21
cer-rec,2020-2021,1975023.45,1882936.93
cer-rec,2021-2022,2776270.20,2593981.54
cfia-acia,2021-2022,9522.64,8658.66
chrc-ccdp,2017-2018,81481.51,83978.85
chrc-ccdp,2018-2019,81481.51,82970.91
chrc-ccdp,2019-2020,27234.92,27300.45
cic,2017-2018,4239330.29,4368298.15
cic,2018-2019,7124744.67,7249338.97
cic,2019-2020,8876192.50,8806283.35
cic,2020-2021,8647760.88,8244343.45
cic,2021-2022,10476967.38,9812031.23
cra-arc,2017-2018,11179330.04,11520999.97
cra-arc,2018-2019,2579493.78,2645278.59
csc-scc,2017-2018,3643510.90,3755181.74
csc-scc,2018-2019,3643510.90,3710110.56
csc-scc,2019-2020,3653493.13,3624173.48
csc-scc,2020-2021,3643510.90,3473630.26
csc-scc,2021-2022,4199633.21,3943149.95
cta-otc,2017-2018,151407.35,156047.87
cta-otc,2018-2019,151407.35,154174.92
cta-otc,2019-2020,151822.16,150603.77
dfatd-maecd,2018-2019,1075423.17,1094508.19
dfatd-maecd,2019-2020,116170.37,115686.75
dfatd-maecd,2020-2021,445709.31,424148.24
dfatd-maecd,2021-2022,2868173.88,2675368.50
dfo-mpo,2018-2019,712685.90,722364.43
dfo-mpo,2019-2020,725947.11,715496.71
dfo-mpo,2020-2021,1324349.89,1262801.80
dfo-mpo,2021-2022,468402.03,436052.16
dnd-mdn,2017-2018,11830974.93,12192757.26
dnd-mdn,2018-2019,15412608.36,15691669.55
dnd-mdn,2019-2020,20096821.59,19937722.86
dnd-mdn,2020-2021,25020360.41,23862044.06
dnd-mdn,2021-2022,37334520.12,34807549.42
elections,2017-2018,1143392.83,1178436.95
elections,2018-2019,24671.11,25300.73
elections,2019-2020,24205.35,23987.71
elections,2020-2021,26138.91,24920.17
elections,2021-2022,26138.91,24459.77
hc-sc,2017-2018,419116.71,431962.32
ic,2017-2018,2081536.21,2144428.95
ic,2018-2019,2362746.96,2408752.27
ic,2019-2020,1988878.51,1970043.53
ic,2020-2021,2687502.41,2559196.56
ic,2021-2022,4888010.79,4574622.59
jus,2017-2018,435890.98,449227.97
jus,2018-2019,458502.04,466882.99
jus,2019-2020,459758.21,456068.61
jus,2020-2021,458502.04,437124.14
jus,2021-2022,345446.75,326250.49
lac-bac,2017-2018,419504.48,432363.82
lac-bac,2018-2019,720738.66,733913.02
lac-bac,2019-2020,722076.06,716291.39
lac-bac,2020-2021,488151.02,465390.72
lac-bac,2021-2022,488151.02,456792.71
nrcan-rncan,2018-2019,72295.44,72912.00
nrcan-rncan,2019-2020,359679.65,357434.57
nrcan-rncan,2020-2021,293548.03,279807.13
nrcan-rncan,2021-2022,219905.12,205778.65
pc,2017-2018,52706.27,54374.90
pco-bcp,2019-2020,105756.70,104847.91
pco-bcp,2020-2021,485658.50,463470.81
pco-bcp,2021-2022,536885.50,502396.54
ps-sp,2017-2018,96321.57,99273.76
ps-sp,2018-2019,48292.73,49451.37
psc-cfp,2017-2018,502782.36,518192.26
psc-cfp,2018-2019,502782.36,511972.71
psc-cfp,2019-2020,1294097.60,1283631.74
psc-cfp,2020-2021,726866.70,691834.76
psc-cfp,2021-2022,102395.62,97563.42
pwgsc-tpsgc,2017-2018,10721.86,11017.33
pwgsc-tpsgc,2018-2019,8127700.95,8211568.71
pwgsc-tpsgc,2019-2020,3543626.35,3539794.83
pwgsc-tpsgc,2020-2021,1422703.07,1356368.78
pwgsc-tpsgc,2021-2022,3387021.50,3163380.83
rcmp-grc,2017-2018,2242879.33,2310776.05
rcmp-grc,2018-2019,2751954.88,2799905.35
rcmp-grc,2019-2020,4399419.47,4358746.45
rcmp-grc,2020-2021,4330645.05,4128984.33
rcmp-grc,2021-2022,4730490.96,4422292.24
ssc-spc,2017-2018,4839664.99,4986131.84
ssc-spc,2018-2019,6611085.94,6731696.77
ssc-spc,2019-2020,6585424.52,6533059.04
ssc-spc,2020-2021,1685465.23,1589741.86
tbs-sct,2021-2022,1782220.52,1666156.50
