owner_org,d_fiscal_year,total
cnsc-ccsn,2017-2018,37780.81467625899
csc-scc,2017-2018,231613.2037815126
csc-scc,2018-2019,232552.9351883089
csc-scc,2019-2020,234525.52007299272
csc-scc,2020-2021,233884.73996350367
dfo-mpo,2017-2018,492642.51675393165
dfo-mpo,2018-2019,695708.2784197921
dfo-mpo,2019-2020,933436.5300845942
dfo-mpo,2020-2021,1247532.650052027
ec,2017-2018,582594.1051
psc-cfp,2017-2018,254088.21857923496
swc-cfc,2018-2019,107530.8
wage,2018-2019,105586.57134909598
wage,2019-2020,109475.02865090405
wage,2020-2021,20284.49881081081
