owner_org,d_fiscal_year,total,total_constant_2019_dollars
dfatd-maecd,2019-2020,514000.00,512223.20
ec,2020-2021,79179.50,75232.18
ec,2021-2022,170003.05,158056.20
ec,2022-2023,198230.45,177201.40
hc-sc,2021-2022,39550.00,36011.60
nrc-cnrc,2022-2023,5951.00,5266.31
pwgsc-tpsgc,2017-2018,1935894.06,1993190.16
pwgsc-tpsgc,2018-2019,3143089.78,3198318.41
pwgsc-tpsgc,2019-2020,3611864.66,3572339.27
pwgsc-tpsgc,2020-2021,2881572.30,2740283.48
pwgsc-tpsgc,2021-2022,5146157.87,4765815.29
pwgsc-tpsgc,2022-2023,2336765.49,2087684.30
