owner_org,d_fiscal_year,total,total_constant_2019_dollars
cbsa-asfc,2018-2019,780390.57,790836.29
cbsa-asfc,2019-2020,1009268.37,1007201.12
cbsa-asfc,2020-2021,1006510.80,985361.73
cfia-acia,2017-2018,13703.27,14070.59
cfia-acia,2018-2019,13703.27,13878.14
cfia-acia,2019-2020,13740.81,13712.67
cfia-acia,2020-2021,13703.27,13415.33
cfia-acia,2021-2022,1126.30,1040.35
cic,2021-2022,2000000.00,696181.81
dnd-mdn,2020-2021,1964137.90,1882233.31
dnd-mdn,2021-2022,3086761.38,2668233.18
esdc-edsc,2021-2022,122944.00,90484.81
ic,2021-2022,4057.86,0.00
pc,2019-2020,95519.95,95318.25
pc,2020-2021,4070.45,4106.06
phac-aspc,2021-2022,255474.92,59431.89
