owner_org,d_fiscal_year,total,total_constant_2019_dollars
dfo-mpo,2018-2019,26977.74,27243.17
dfo-mpo,2020-2021,219857.00,211070.20
dfo-mpo,2021-2022,20377.02,18872.56
dnd-mdn,2020-2021,107426.95,102524.13
dnd-mdn,2021-2022,116791.07,107645.33
ec,2017-2018,37242.45,38224.30
ec,2018-2019,142566.02,144701.51
ec,2019-2020,214290.85,213031.13
ec,2020-2021,155798.19,148112.71
ec,2021-2022,127397.93,117833.58
pc,2017-2018,111288.97,114207.12
pc,2018-2019,317516.97,322041.85
pc,2019-2020,196670.66,195150.23
pc,2020-2021,318878.13,304835.75
pc,2021-2022,486424.69,449701.79
rcmp-grc,2019-2020,188945.34,188611.22
rcmp-grc,2021-2022,27869.17,25811.56
