owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2017-2018,2764.92,2812.41
aafc-aac,2018-2019,12151.08,12309.63
cas-satj,2020-2021,53704.82,50762.41
cic,2017-2018,79222.35,81952.87
cic,2018-2019,25933.74,26254.94
cic,2019-2020,62088.22,61961.05
cic,2020-2021,61918.58,60617.53
cic,2021-2022,61918.58,47035.86
cra-arc,2019-2020,702548.65,700196.68
cra-arc,2020-2021,2432421.39,2331771.99
cra-arc,2021-2022,5629622.88,4157017.92
crtc,2017-2018,3864.60,3933.30
crtc,2018-2019,8678.40,8792.66
csc-scc,2021-2022,11879.50,1745.67
ec,2017-2018,55895.57,56898.73
ec,2018-2019,78951.26,79958.80
ec,2019-2020,103887.20,103758.93
ec,2020-2021,61829.16,61108.31
ec,2021-2022,31705.43,24084.73
esdc-edsc,2021-2022,14686.66,1354.31
ic,2018-2019,3982.16,4032.98
ic,2019-2020,3993.07,3984.89
ic,2020-2021,3982.16,3898.49
lac-bac,2017-2018,15628.46,15896.92
lac-bac,2018-2019,85956.54,87054.93
lac-bac,2021-2022,36491.41,8256.26
nrc-cnrc,2020-2021,34160.57,32288.96
nrc-cnrc,2021-2022,40729.91,37621.94
pco-bcp,2020-2021,22769.50,22192.16
pwgsc-tpsgc,2017-2018,266948.67,274104.37
pwgsc-tpsgc,2018-2019,89226.68,90131.08
pwgsc-tpsgc,2019-2020,19210.35,19209.65
pwgsc-tpsgc,2020-2021,81170.94,79465.35
pwgsc-tpsgc,2021-2022,81170.94,61660.72
rcmp-grc,2021-2022,725371.58,538000.39
statcan,2020-2021,15232.31,15186.75
statcan,2021-2022,131344.72,99774.76
