d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,1638001.13,1688554.03
it_consulting_services,2018-2019,1721962.34,1753116.45
it_consulting_services,2019-2020,2268194.64,2252199.60
it_consulting_services,2020-2021,713354.91,679010.28
it_consulting_services,2021-2022,157441.25,148631.57
it_devices_equipment,2017-2018,39340069.13,40458973.41
it_devices_equipment,2018-2019,46463279.41,47115563.18
it_devices_equipment,2019-2020,72057080.64,71082154.42
it_devices_equipment,2020-2021,43304613.25,41262949.59
it_devices_equipment,2021-2022,17898095.03,16565879.65
it_other,2017-2018,1052769.22,1083730.08
it_other,2018-2019,1251202.76,1269594.06
it_other,2019-2020,1770159.25,1737201.14
it_other,2020-2021,303494.42,287213.41
it_other,2021-2022,128943.58,119306.31
it_software_licensing,2017-2018,273020.66,281262.45
it_software_licensing,2018-2019,4802725.31,4847663.91
it_software_licensing,2019-2020,560611.18,552049.25
it_software_licensing,2020-2021,190594.79,181653.43
it_software_licensing,2021-2022,24995.60,22727.77
