d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,6372896.80,6569889.91
1_facilities_and_construction,2018-2019,1588859.20,1631276.71
11_defence,2017-2018,118256.68,121912.13
11_defence,2018-2019,136573.63,138932.34
11_defence,2019-2020,198918.86,197340.90
11_defence,2020-2021,1418341.69,1347911.55
11_defence,2021-2022,638411.79,599985.26
11_defence,2022-2023,101134.48,90495.56
5_transportation_and_logistics,2017-2018,24357.10,25052.70
5_transportation_and_logistics,2018-2019,24959.00,25192.16
6_industrial_products_and_services,2017-2018,52419.30,54063.36
6_industrial_products_and_services,2018-2019,8042649.69,8176648.90
6_industrial_products_and_services,2019-2020,10743101.42,10657403.93
6_industrial_products_and_services,2020-2021,10713748.68,10202924.46
6_industrial_products_and_services,2021-2022,10713748.68,9960847.08
6_industrial_products_and_services,2022-2023,10713748.68,9586707.23
