owner_org,d_fiscal_year,total,total_constant_2019_dollars
cbsa-asfc,2019-2020,3006.45,2934.83
cbsa-asfc,2020-2021,20377.05,19203.24
ced-dec,2020-2021,16231.49,15394.62
cic,2017-2018,115618.26,119097.99
cic,2020-2021,83182.63,78893.88
cic,2021-2022,313359.23,295946.05
cnsc-ccsn,2020-2021,49042.00,46686.23
cra-arc,2019-2020,9533.61,9306.52
cra-arc,2020-2021,3666.77,3455.55
csc-scc,2020-2021,15965.74,15237.01
csc-scc,2021-2022,27135.49,25245.52
dfo-mpo,2017-2018,24184.49,24857.90
dfo-mpo,2019-2020,43639.47,42599.94
dfo-mpo,2020-2021,18769.30,17801.59
dnd-mdn,2017-2018,19380.62,19914.69
dnd-mdn,2018-2019,31624.85,32051.86
dnd-mdn,2019-2020,15305.69,14941.10
dnd-mdn,2021-2022,68519.81,62303.05
ec,2018-2019,65875.88,66472.19
ec,2020-2021,22620.23,21453.97
ec,2021-2022,50133.54,47138.77
esdc-edsc,2020-2021,18942.80,17966.14
esdc-edsc,2021-2022,141690.44,131992.85
ic,2018-2019,14705.24,14874.30
ic,2019-2020,21666.28,21492.41
ic,2020-2021,53911.81,51132.21
ic,2021-2022,137472.03,126466.14
irb-cisr,2019-2020,82648.88,81319.67
isc-sac,2020-2021,29872.54,28332.36
isc-sac,2021-2022,153570.07,143704.89
jus,2017-2018,39904.22,41035.61
jus,2019-2020,11423.36,11325.99
nfb-onf,2019-2020,23565.09,23588.66
pwgsc-tpsgc,2017-2018,396750.45,408200.57
pwgsc-tpsgc,2018-2019,172193.42,174757.59
pwgsc-tpsgc,2019-2020,1020785.53,999561.20
pwgsc-tpsgc,2020-2021,674104.43,640976.03
pwgsc-tpsgc,2021-2022,764473.78,712852.33
rcmp-grc,2017-2018,37513.74,38547.51
tc,2017-2018,43145.95,44334.93
tc,2018-2019,232752.40,235025.34
tc,2020-2021,53842.51,51282.32
tc,2021-2022,22916.25,20837.07
