d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
10_office_management,2019-2020,93078.29,91556.81
10_office_management,2020-2021,197833.61,189378.15
10_office_management,2021-2022,104562.97,97118.70
10_office_management,2022-2023,211731.89,188994.84
11_defence,2018-2019,14416.56,14551.23
3_information_technology,2017-2018,42902.36,44282.98
3_information_technology,2018-2019,25716.43,26205.03
3_information_technology,2019-2020,488521.28,483184.61
3_information_technology,2020-2021,614615.29,585269.80
3_information_technology,2021-2022,331399.52,305575.01
3_information_technology,2022-2023,989450.66,879962.75
6_industrial_products_and_services,2017-2018,24339.00,25034.08
