d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2017-2018,540829.17,556636.24
11_defence,2018-2019,77427.14,78920.58
11_defence,2019-2020,260881.05,256789.53
11_defence,2020-2021,7463.45,7032.62
11_defence,2021-2022,54483.15,50654.39
11_defence,2022-2023,156602.55,138962.42
3_information_technology,2017-2018,850288.89,877481.64
3_information_technology,2018-2019,745520.59,758697.89
3_information_technology,2019-2020,333313.18,330095.74
3_information_technology,2020-2021,446838.93,424420.77
3_information_technology,2021-2022,1138361.72,1058364.10
3_information_technology,2022-2023,716116.35,641056.33
6_industrial_products_and_services,2018-2019,245.06,247.35
6_industrial_products_and_services,2019-2020,4484.58,4448.81
6_industrial_products_and_services,2020-2021,4472.33,4259.09
6_industrial_products_and_services,2021-2022,4472.33,4158.04
6_industrial_products_and_services,2022-2023,4472.33,4001.86
