d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2020-2021,588017.28,559620.58
0_other,2021-2022,679197.18,531311.93
1_facilities_and_construction,2021-2022,1105.67,0.00
10_office_management,2018-2019,133611.58,135689.44
10_office_management,2019-2020,44659.21,44757.59
11_defence,2017-2018,306323.89,314205.84
11_defence,2018-2019,276749.75,280995.60
11_defence,2019-2020,297977.52,295511.09
11_defence,2020-2021,281633.29,267993.70
11_defence,2021-2022,147346.73,109891.77
2_professional_services,2017-2018,295579.31,302841.14
2_professional_services,2018-2019,588888.56,596933.64
2_professional_services,2019-2020,1663889.70,1647332.24
2_professional_services,2020-2021,842577.62,800209.34
2_professional_services,2021-2022,1021997.14,737835.46
3_information_technology,2017-2018,21245995.33,21795027.08
3_information_technology,2018-2019,23283640.87,23653304.53
3_information_technology,2019-2020,28818788.06,28570020.59
3_information_technology,2020-2021,29420711.85,27967562.66
3_information_technology,2021-2022,29285201.81,22863923.47
9_human_capital,2017-2018,46182.92,47271.55
9_human_capital,2019-2020,24353.46,23904.87
9_human_capital,2020-2021,49380.42,46858.31
9_human_capital,2021-2022,24973.00,19535.49
