owner_org,d_fiscal_year,total
cer-rec,2020-2021,46473.15
cer-rec,2021-2022,26906.85
crtc,2019-2020,39804.00
crtc,2020-2021,119097.33
crtc,2021-2022,223568.67
dfatd-maecd,2019-2020,94906.07
dfatd-maecd,2020-2021,283264.95
dfatd-maecd,2021-2022,243702.05
dnd-mdn,2021-2022,60378.80
ec,2017-2018,97098.95
ec,2018-2019,97098.95
ec,2019-2020,97364.98
ec,2020-2021,97098.95
ec,2021-2022,150015.58
elections,2017-2018,873.23
elections,2018-2019,10624.27
esdc-edsc,2017-2018,34717.94
esdc-edsc,2018-2019,186608.92
fin,2019-2020,77328.16
hc-sc,2020-2021,84750.00
infc,2017-2018,124945.12
infc,2018-2019,124945.12
infc,2019-2020,125287.43
infc,2020-2021,124945.12
infc,2021-2022,124945.12
jus,2017-2018,257466.55
jus,2018-2019,275145.32
jus,2019-2020,216416.91
jus,2020-2021,127337.66
jus,2021-2022,153234.02
lac-bac,2017-2018,47271.31
lac-bac,2018-2019,85840.93
lac-bac,2019-2020,86076.11
phac-aspc,2017-2018,1270.55
phac-aspc,2018-2019,5152.80
phac-aspc,2019-2020,3882.25
phac-aspc,2021-2022,4962.72
pwgsc-tpsgc,2017-2018,237343.19
pwgsc-tpsgc,2018-2019,266080.78
pwgsc-tpsgc,2019-2020,293819.15
pwgsc-tpsgc,2020-2021,296596.77
pwgsc-tpsgc,2021-2022,261892.70
ssc-spc,2019-2020,24385.83
ssc-spc,2020-2021,369074.09
ssc-spc,2021-2022,379572.07
tbs-sct,2017-2018,318219.49
tbs-sct,2019-2020,79715.85
