d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,3072263.25,3166411.37
it_consulting_services,2018-2019,2773357.65,2822513.62
it_consulting_services,2019-2020,2011966.77,1995811.69
it_consulting_services,2020-2021,3331598.16,3178043.88
it_consulting_services,2021-2022,2677696.08,2504749.02
it_devices_equipment,2017-2018,65098.01,67073.06
it_devices_equipment,2018-2019,359539.69,364754.99
it_devices_equipment,2019-2020,968260.77,961127.57
it_devices_equipment,2020-2021,394330.62,375825.84
it_devices_equipment,2021-2022,1843907.91,1744150.87
it_other,2017-2018,60589.17,62456.75
it_other,2018-2019,388734.27,395839.94
it_software_licensing,2017-2018,67074234.85,69124542.30
it_software_licensing,2018-2019,74145055.49,75493356.64
it_software_licensing,2019-2020,69962394.18,69398247.97
it_software_licensing,2020-2021,69212917.41,65984147.17
it_software_licensing,2021-2022,89520283.33,83742761.28
