d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,11458.47,11774.23
1_facilities_and_construction,2018-2019,1673691.88,1698513.24
1_facilities_and_construction,2019-2020,796049.35,784125.56
1_facilities_and_construction,2020-2021,494671.74,471462.31
1_facilities_and_construction,2021-2022,381717.49,353184.85
10_office_management,2017-2018,474534.36,487611.15
10_office_management,2018-2019,30124.70,30706.43
10_office_management,2020-2021,18671.94,17939.45
10_office_management,2021-2022,39138.95,36091.67
11_defence,2018-2019,149542.07,151731.70
11_defence,2019-2020,878428.85,870933.03
11_defence,2020-2021,80880.08,77716.22
2_professional_services,2018-2019,127451.09,129497.59
2_professional_services,2019-2020,55682.51,55235.65
2_professional_services,2020-2021,124830.37,118748.12
2_professional_services,2021-2022,91290.64,84681.21
3_information_technology,2017-2018,342265.95,351748.76
3_information_technology,2018-2019,1158579.03,1171226.03
3_information_technology,2019-2020,695799.73,686356.17
3_information_technology,2020-2021,655483.01,624663.97
3_information_technology,2021-2022,1406922.87,1304043.07
5_transportation_and_logistics,2018-2019,48868.79,49672.87
5_transportation_and_logistics,2019-2020,94912.02,93891.22
6_industrial_products_and_services,2017-2018,1662466.99,1712062.30
6_industrial_products_and_services,2018-2019,4163901.30,4232223.08
6_industrial_products_and_services,2019-2020,2903480.39,2869061.06
6_industrial_products_and_services,2020-2021,7008275.06,6662006.47
6_industrial_products_and_services,2021-2022,8276920.40,7644701.12
8_security_and_protection,2017-2018,360651.12,371332.47
8_security_and_protection,2018-2019,216922.85,220600.44
8_security_and_protection,2019-2020,138269.19,135678.68
8_security_and_protection,2020-2021,20813253.32,19844477.91
8_security_and_protection,2021-2022,14744500.18,13852677.67
