d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2020-2021,22050.00,20949.59
it_devices_equipment,2017-2018,180480.14,185634.38
it_devices_equipment,2018-2019,17146.86,17391.80
it_devices_equipment,2019-2020,447327.56,441716.76
it_devices_equipment,2020-2021,23012.40,21908.09
it_devices_equipment,2021-2022,24290.23,22685.12
it_other,2017-2018,87144.52,89643.43
it_other,2018-2019,993225.44,1005157.16
it_other,2019-2020,215056.43,211897.22
it_other,2020-2021,610420.61,579068.90
it_other,2021-2022,1278500.66,1177575.06
it_other,2022-2023,797960.96,712185.88
it_software_licensing,2017-2018,74641.29,76807.84
it_software_licensing,2018-2019,148206.73,149694.39
it_software_licensing,2019-2020,33415.74,32945.55
it_software_licensing,2021-2022,104131.98,95664.60
it_software_licensing,2022-2023,141065.49,126681.14
