d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,80928.03327231121
1_facilities_and_construction,2018-2019,11544.15
11_defence,2017-2018,1689545.657388261
11_defence,2018-2019,996355.2082800722
11_defence,2019-2020,410604.8578958137
11_defence,2020-2021,848434.6846465152
2_professional_services,2017-2018,63626.15730337079
2_professional_services,2019-2020,24744.64
2_professional_services,2020-2021,22407.899999999998
3_information_technology,2018-2019,15735.94
3_information_technology,2020-2021,46526.5
6_industrial_products_and_services,2017-2018,1902796.2764104926
6_industrial_products_and_services,2018-2019,2635544.247252829
6_industrial_products_and_services,2019-2020,2827540.1043922487
6_industrial_products_and_services,2020-2021,3687845.511034448
