owner_org,d_fiscal_year,total
aafc-aac,2017-2018,11849.084507042253
aafc-aac,2018-2019,95811.66549295775
aafc-aac,2019-2020,24351.5
aandc-aadnc,2017-2018,117498.59
cbsa-asfc,2019-2020,25029.5
cgc-ccg,2019-2020,680.7272727272727
cgc-ccg,2020-2021,12423.272727272728
cic,2019-2020,12014.923296199215
cic,2020-2021,67468.41543250329
cics-scic,2017-2018,13673.982608695653
cics-scic,2018-2019,4212.075000000001
cics-scic,2019-2020,19676.125
csa-asc,2017-2018,212282.13574342956
csa-asc,2018-2019,161318.36549465737
csa-asc,2019-2020,96441.6551724138
csa-asc,2020-2021,71634.316594568445
dfo-mpo,2017-2018,40214.42015906464
dfo-mpo,2018-2019,66606.5505153535
dfo-mpo,2019-2020,70174.0581300813
dfo-mpo,2020-2021,52880.594173441736
dnd-mdn,2017-2018,29196.955479452055
dnd-mdn,2018-2019,13008.544520547945
ec,2017-2018,226862.58492376405
ec,2018-2019,57527.60461111967
ec,2019-2020,262758.036693718
ec,2020-2021,334714.7481888517
esdc-edsc,2017-2018,453616.48848684214
esdc-edsc,2018-2019,57773.417205904654
esdc-edsc,2019-2020,159971.38558108223
esdc-edsc,2020-2021,127472.60721301312
hc-sc,2020-2021,16372.444444444445
ic,2017-2018,68065.93398058253
ic,2018-2019,156261.6660194175
infc,2020-2021,31786.68058252427
irb-cisr,2019-2020,17771.972891566264
irb-cisr,2020-2021,36648.4186746988
jus,2017-2018,71618.03703703704
jus,2018-2019,279817.123259111
jus,2019-2020,284470.1359352848
jus,2020-2021,235662.58026853472
nrc-cnrc,2019-2020,36044.46843177189
nrc-cnrc,2020-2021,106066.35881075302
nrcan-rncan,2017-2018,33806.258145363405
nrcan-rncan,2018-2019,78096.73558897243
nrcan-rncan,2019-2020,58840.00626566416
nserc-crsng,2017-2018,181510.392092257
nserc-crsng,2018-2019,53937.441103789126
nserc-crsng,2019-2020,22101.470588235294
nserc-crsng,2020-2021,31750.091911764706
ocol-clo,2017-2018,24727.5
ocol-clo,2020-2021,15750
pch,2017-2018,24665.57275541796
pch,2018-2019,141313.17724458207
pch,2019-2020,76151.25
pch,2020-2021,23117.06
phac-aspc,2017-2018,93366.5559566787
phac-aspc,2018-2019,162713.1341772152
phac-aspc,2019-2020,118995.8658227848
phac-aspc,2020-2021,27916.649999999998
ps-sp,2019-2020,108197.50000000001
sshrc-crsh,2017-2018,28588.512931034486
sshrc-crsh,2018-2019,118019.06469242231
sshrc-crsh,2019-2020,242832.80237654317
sshrc-crsh,2020-2021,26216
tc,2019-2020,37290
